,title,devanagari,extra
0,1.1,"धृतराष्ट्र उवाच ।
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥ १.१ ॥",BG1.3
1,1.2,"सञ्जय उवाच ।
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा
आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ॥ १.२ ॥",BG1.3
2,1.3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥ १.३ ॥",BG1.3
3,1.4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि ।
युयुधानो विराटश्च द्रुपदश्च महारथः ॥ १.४ ॥",BG1.3
4,1.5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥ १.५ ॥",BG1.3
5,1.6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ॥ १.६ ॥",BG1.3
6,1.7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ॥ १.७ ॥",BG1.3
7,1.8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ॥ १.८ ॥",BG1.3
8,1.9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः ।
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ॥ १.९ ॥",BG1.3
9,1.1,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् ।
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ॥ १.१० ॥",BG1.3
10,1.11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः ।
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥ १.११ ॥",BG1.3
11,1.12,"तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः ।
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ॥ १.१२ ॥",BG1.3
12,1.13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥ १.१३ ॥",BG1.3
13,1.14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥ १.१४ ॥",BG1.3
14,1.15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥ १.१५ ॥",BG1.3
15,1.16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥ १.१६ ॥",BG1.3
16,1.17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः ।
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥ १.१७ ॥",BG1.3
17,1.18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते ।
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ॥ १.१८ ॥",BG1.3
18,1.19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् ।
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् ॥ १.१९ ॥",BG1.3
19,1.2,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः
हृषीकेशं तदा वाक्यमिदमाह महीपते ॥ १.२० ॥",BG1.3
20,1.21,"अर्जुन उवाच
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥ १.२१ ॥",BG1.3
21,1.22,"यावदेतान्निरिक्षेऽहं योद्\u200cधुकामानवस्थितान् ।
कैर्मया सह योद्धव्यमस्मिन्रणसमुद्यमे ॥ १.२२ ॥",BG1.3
22,1.23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः ।
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ १.२३ ॥",BG1.3
23,1.24,"सञ्जय उवाच ।
एवमुक्तो हृषीकेशो गुडाकेशेन भारत
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ १.२४ ॥",BG1.3
24,1.25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् ।
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ॥ १.२५ ॥",BG1.3
25,1.26,"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा
श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि ॥ १.२६ ॥",BG1.3
26,1.27,"तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ।
कृपया परयाविष्टो विषीदन्निदमब्रवीत् ॥ १.२७ ॥",BG1.3
27,1.28,"अर्जुन उवाच ।
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम्
सीदन्ति मम गात्राणि मुखं च परिशुष्यति ॥ १.२८ ॥",BG1.3
28,1.29,"वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।
गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते ॥ १.२९ ॥",BG1.3
29,1.3,"न च मे शक्नोम्यवस्थातुं भ्रमतीव मनः ।
निमित्तानि च पश्यामि विपरीतानि केशव ॥ १.३० ॥",BG1.3
